SMALL_AREA,Cluster
268110007,3
268113017/01,2
267072009,4
268112002,7
267039012,4
267073001,6
267072002,6
268044001,4
268043010,4
268042016,4
267072006,4
267062001,4
267062003,4
267067009,7
267069007,4
267068010,4
267076011,4
267068008,3
267102002,5
267028118,2
267028117,2
267028079,5
268143009,7
267100013,3
267109006,6
267109007,6
267100092/02,2
267028003,4
268113014,4
267040049,2
267040039,5
267040041,5
268096007,3
268096020,6
268143014,1
268046008,4
267064002,4
267040055,2
267031008,4
268097002,7
268143003,1
268117002,7
268141002,6
268097003,1
268140014,1
268140007,1
268097004,1
268143001,1
268143004,3
267076014,4
267076012,4
267076013,4
267100070,4
268045001,4
268046011,4
268041004,4
267072008,4
267072005,4
267068011,4
267068001,4
267067005,7
267068006,4
267068002,7
267061001,4
267109001,6
267100066,5
267100061,5
267100074,5
267101010,4
267100059,4
267101019,4
267028106,2
267028071,2
267101012,4
267100065,5
267031010,2
267101017,3
267102003,5
267102004,5
267109002,6
267040020,4
268117007,1
268117005,7
267031017,2
267040033,2
268126002,4
267101007,4
267101006,4
268074006,4
268074007,4
268124007,3
268126015,4
268074001,4
268075003,4
268126012,4
268008003,4
268008002,4
268022013,7
267100057,2
267019012,4
268158015,3
268158011,4
268158012,3
268023010,3
268023002,4
268023001,4
268021004,3
268022015,4
268088010,5
268121003,4
268159005,3
267100071,5
267028004/01,2
268159002,7
268021007,3
268159003,4
268159004,4
268021010,4
268159006,3
268021009,4
268089009,6
268086002,3
268042012,4
267019013,4
267072004,6
267063004,4
268045007,4
268043009,4
268026010,4
268042018,4
268042014,4
268042011,4
268042015,4
268030014,4
267061007,4
267063002,4
267103010,3
268024005,4
268026012,3
268088005,5
268026009,7
268022004,4
268024002,4
268023013,3
268023009,3
268023008,3
267040038,5
268160010,3
268158004,4
268123003,3
268123002,5
268123004,5
268121004,3
268046006,4
268046012,4
267040031,4
267040002,2
267039011,4
268087001,3
268087002,3
268023007,3
268087007,4
268086004,6
268086001,3
268017022,6
268076009,4
268030015,4
267074002/02,3
267074004,3
268143005,1
267063007,4
268046005,4
268045005,4
268046007,4
268045003,4
268024003,4
268030005,4
268030003,4
268027005,4
267060006,4
267060003,3
267160005,4
267160002,5
267160003,4
268088006,5
268041011,4
268126009,3
268124008,3
268157006,4
268157008,4
268158006,3
268075002,3
268062005,6
268062008,3
268008001,3
268008005,3
268125008,3
268076007,4
268077001,4
268077003,4
268077005,4
268023006,3
268076010,3
268023004,4
268076011,3
268008009,3
268062004,3
268062002,4
268012001,6
267033006,4
268025008,3
268047001,3
268025004,4
268025006,4
268047004,3
268047010,3
268042004,4
267027004,3
268126003,4
268076003,3
268077008,3
268158008,4
268157012,4
268077009,3
268077010,3
268076002,4
268062007,3
268062010,3
268126004,4
268017007,3
268160001,7
268160006,3
268087005,3
268158016/01,3
268017015/268017016/268017017,1
268017001,3
268017014,6
268159008,4
268017005,3
268008004,4
268026003,3
268086003,6
268062001,3
268074013,5
268126011,4
268074008,3
268159009,4
268008008,4
268126013,4
268021008,4
268026005,5
267027001,4
268046009,3
268043004,7
268043003,7
268043011,4
268043005,4
268042005,7
268042009,4
268042008,4
268042022,3
268066011,3
268066010,3
268126001,4
268027007,7
268014007,4
268014006,4
267030002,3
267033004,4
268064012,3
268012006,6
268012005,6
268013003,6
268013002,3
268014008,3
268104015,6
268067013,3
268012008,3
268012012,3
267027017,5
268063008,3
268064010,3
268009017,1
268108029/01,7
268108028,1
267002046,6
268105004,1
268010008,7
268050009,4
268108007,7
268009013,6
268009003,7
268059005,1
268060011,3
268059007,1
268028006,4
268028014,4
268028004,3
268058016/01,7
268058014,7
268058017,4
268048010,7
268049001,7
268025007,4
268069005,3
268060005,4
268058007,7
268050010,4
268050003,3
267030001,3
267027006,2
267027007,2
267030007,6
267030011,5
268069007,3
268065014,3
267118015,2
268063007,6
268063009,3
268065008,4
268070003,4
268048002,7
268048003,7
268048013,4
268048012,7
268044006,4
268047008,3
268047011,3
268050001,4
268049009,7
268048008,7
268025001,4
268019006,4
267118023,5
267118021,2
267118029,5
268044007,7
268048014,7
268006033,2
268069004,3
268068003,6
268020004,4
268067004,3
268031006,3
268034010,3
268034006,3
268034003,3
267065022,5
267065030,3
267118006,5
268033006,4
268035003,3
268030004,4
