Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,"""x"" East Coordinates","""y"" North Coordinates",TOTAL,Complete & occupied,Complete & vacant
MERCHANTS QUAY,HECTOR STREET,KILRUSH,Clare,499205,655013,23,19,4
CLANCY MILLS ,JOHN STREET,KILRUSH,Clare,499481,655150,16,2,14
GORT AN CLOCHAR,CIRCULAR ROAD,KILKEE,Clare,488630,659660,47,7,40
CHAPEL STREET,CHAPEL STREET,KILKEE,Clare,488692,659859,3,2,1
CROI AN BHAILE,O'DEAS ROAD,KILMIHIL,Clare,510963,664575,54,34,1
CLOONNAKILLA ROAD,CONTINUATION OF CHURCH STREET,KILMIHIL,Clare,510774,664828,5,2,2
DUN NA MARA,O'DEAS ROAD,DOONBEG,Clare,496563,665526,36,21,5
CLONBOY GARDENS,OFF CHURCH STREET,MILTOWN MALBAY,Clare,505650,679657,8,5,1
SLI LIAG ARD,BALLARD ROAD,MILTOWN MALBAY,Clare,506468,679506,20,14,6
CLUAIN LIAG ARD,"ENNIS RD., LEAGARD NORTH",MILTOWN MALBAY,Clare,505788,678929,31,22,9
ENNIS ROAD,ENNIS ROAD,MILTOWN MALBAY,Clare,505891,678829,24,23,1
KILLALOE ROAD,KILLALOE ROAD,TUAMGRANEY,Clare,563780,683066,4,3, 
BODYKE ROAD,BODYKE ROAD,TUAMGRANEY,Clare,563513,683048,4, , 
AN GARRAN,MOUNTSHANNON,MOUNTSHANNON,Clare,570384,687158,15,8, 
SCARRIFF ROAD,SCARRIFF ROAD,MOUNTSHANNON,Clare,570470,686994,7, ,1
TULLYGLASS LOWLANDS,TULLYGLASS,SHANNON,Clare,540383,661446,22, , 
WESTWOOD,GOLF LINKS ROAD,ENNIS,Clare,533020,677303,28,14,4
DERRYMORE,TULLA ROAD,ENNIS,Clare,535088,679154,42,19,1
CREGGAUN NA HILLA,HILL VIEW,CLARECASTLE,Clare,534481,674080,165,60,14
PORTUMNA ROAD,PORTUMNA ROAD,WHITEGATE,Clare,574624,689204,8,7, 
MOININ,DOUGH,KILKEE,Clare,488831,659507,64,9,6
ANNAGH CROSS RDS.ROAD,ANNAGH CROSS RDS.ROAD,QUILTY,Clare,502380,675059,3,2,
CUIRT NA DTONNTA,MULLAGH ROAD,MILTOWN MALBAY,Clare,505651,678922,46,1,45
Noel McGurran Development,Duncarbry,Tullaghan,Leitrim,578771,857484,4, ,1
Aigean Croith,Duncarbry,Tullaghan,Leitrim,578660,857465,15, ,3
Aidan Carty Development,Duncarbry,Tullaghan,Leitrim,578631,857694,12,10,2
The Stables,Duncarbry,Tullaghan,Leitrim,578791,857685,0, , 
Cois Na Habhann,Duncarbry,Tullaghan,Leitrim,579102,858166,11,3,8
Oakfield Manor,R280,Kinlough,Leitrim,581272,855894,64,46,9
