Year,Business,Statistic,Count
2014,"Water supply, sewerage, waste management and remediation activities (E)",Employees (Number),168
2014,Construction (F),Employees (Number),1734
2014,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Employees (Number),6864
2014,Transportation and storage (H),Employees (Number),938
2014,Accommodation and food service activities (I),Employees (Number),5389
2014,Information and communication (J),Employees (Number),1616
2014,Financial and insurance activities excluding activities of holding companies (K-642),Employees (Number),312
2014,Real estate activities (L),Employees (Number),253
2014,"Professional, scientific and technical activities (M)",Employees (Number),907
2014,Administrative and support service activities (N),Employees (Number),874
2014,Education (P),Employees (Number),2122
2014,"ICT services (261 to 264,268,465,582,61,62,631)",Employees (Number),1417
2014,"Business economy excluding activities of holding companies (B to N,-642)",Employees (Number),23949
