id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9998986,City  Apt w/Parking! Luas/Guinness! SELF-CHECK IN!,30532557,Eibhlin,,Dublin City,53.34071,-6.29964,Entire home/apt,105,1,339,2020-02-23,6.67,3,129
10006474,Great location modern lux apt,23140571,Anna,,Dublin City,53.3391,-6.2352,Entire home/apt,100,2,8,2018-07-03,0.25,1,0
10007446,Lovely apartment near UCD,35657115,Weijie,,Dn Laoghaire-Rathdown,53.30163,-6.20004,Private room,40,1,0,,,1,0
10027351,Large luxury apartment Gallery Quay,50816231,Tor,,Dublin City,53.34214,-6.23917,Private room,60,1,7,2017-03-19,0.15,1,0
10040610,NiceAPT Heart Of CityNearTempleBar,26224119,David,,Dublin City,53.346,-6.25433,Entire home/apt,150,1,244,2020-02-09,4.75,5,255
10048879,Double Bed in City Centre,18998303,Patrick,,Dublin City,53.33628,-6.27349,Private room,38,1,0,,,1,0
10069364,New Flat in Dublin City Centre,8966558,Fran,,Dublin City,53.34381,-6.24243,Private room,100,1,0,,,1,0
10098485,Stunning designer apartment,51822448,Patrick,,Dublin City,53.34236,-6.24573,Entire home/apt,150,1,2,2016-01-25,0.04,1,0
10109594,The Absolute Centre of Temple Bar!,45524866,Nuri,,Dublin City,53.34485,-6.25963,Entire home/apt,450,2,202,2020-03-06,3.92,4,297
10110863,Cozy studio apartment Portobello,51887516,Federico,,Dublin City,53.33124,-6.26602,Entire home/apt,60,4,0,,,1,0
10112847,Master bed+bath with water views,34690858,Karima,,Dublin City,53.34449,-6.23525,Private room,89,2,0,,,1,0
