id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31230558,Comfortable family homr,38442859,Carmel,,Fingal,53.37231,-6.34965,Private room,55,1,4,2019-10-26,0.41,4,364
31237680,Wonderful Neighborhood Close to the city,29940774,Jefferson,,Dublin City,53.36666,-6.25701,Shared room,40,4,0,,,1,0
31247362,Beautiful 2 bedroom 2 bathroom entire apartment.,18613949,David,,Fingal,53.37278,-6.36867,Entire home/apt,79,2,24,2019-08-22,3.56,1,0
31260033,Comfy Bedroom / Private Bathroom & Balcony. Dublin,21539467,Lizeth,,Dublin City,53.36249,-6.24921,Private room,55,15,48,2019-09-30,4.62,1,0
31262065,Cosy Bright Room,216100743,Georgina,,South Dublin,53.3143,-6.32608,Private room,30,1,42,2019-11-12,3.90,4,280
31278993,Lovely family home in south Dublin,125796702,Denise,,Dn Laoghaire-Rathdown,53.26831,-6.14505,Entire home/apt,130,14,0,,,1,17
31300500,Entire home in Dublin with easy access to city,11398133,Niamh,,Dn Laoghaire-Rathdown,53.27067,-6.16484,Entire home/apt,80,4,1,2019-01-06,0.09,1,0
31305094,Big House just off Dublin City Centre,7347275,Rafaela,,Dublin City,53.35149,-6.28273,Entire home/apt,150,2,1,2019-03-11,0.11,17,0
31309588,Luxury Apartment in Dublin city centre,202578770,Emmet,,Dublin City,53.35774,-6.25933,Entire home/apt,112,1,73,2019-11-25,7.20,1,101
31345982,"double bed, ensuite toilet, best location (Pr  PP)",175116573,Amit,,Fingal,53.43654,-6.12838,Private room,500,2,0,,,1,0
31348720,"Period family home, South Circular Road, Dublin 8",116496789,Geraldine,,Dublin City,53.3308,-6.28407,Entire home/apt,495,7,0,,,2,223
31351744,Chic & Cosy 1BR // Heart Dublin Grafton Street,202961997,Sweet Inn,,Dublin City,53.3391,-6.26445,Entire home/apt,150,2,8,2019-07-29,1.00,28,73
31353666,☆ GIRLS ONLY ☆ comfy single in Blanchardstown ☆,45053876,Paola,,Fingal,53.39577,-6.37619,Private room,25,1,8,2019-10-22,1.24,8,61
31354934,Smithfield Apartment 10min walk from Dublin Centre,24767190,Felicienne,,Dublin City,53.34941,-6.27766,Entire home/apt,150,3,8,2019-10-16,0.94,1,0
31356624,City centre apartment with v spacious double room,10864001,Orla,,Dublin City,53.3435,-6.24023,Private room,100,1,22,2019-10-26,2.08,1,0
31359369,Dublin Town House,7129888,Félim,,Dublin City,53.37425,-6.26026,Entire home/apt,205,1,5,2019-10-29,0.59,2,82
31377279,"Georgian-style Bank House, Dublin",21120061,Frank,,Dublin City,53.34276,-6.27641,Entire home/apt,200,3,13,2019-10-29,1.62,1,10
31385595,Light and Bright Double Room,74596155,Mo,,Dublin City,53.36053,-6.28485,Private room,50,1,22,2019-11-24,2.04,1,68
31386185,city centre great location,170049447,Ivana,,Dublin City,53.35337,-6.25823,Entire home/apt,109,1,1,2019-10-18,0.75,1,131
31399288,Willow House Private Room: City Centre,230015934,Edward,,Dublin City,53.33094,-6.25116,Private room,55,3,56,2019-11-10,5.75,1,31
31401445,Spacious 2 bed  apartment in amazing location,219323805,Rafael,,Dublin City,53.3423,-6.24459,Entire home/apt,125,1,1,2019-01-27,0.10,2,0
31401915,Quirky & cozy apt in Dublin city,235170729,Tatiana,,Dublin City,53.3465,-6.30914,Entire home/apt,130,15,52,2019-11-12,5.80,1,11
31403919,Apt 58 Adelaide Square,24141249,Elaine,,Dublin City,53.3392,-6.26902,Entire home/apt,198,2,83,2019-11-24,8.38,8,85
31404382,City Centre Apartment,28757886,Fergal,,Dublin City,53.34206,-6.23583,Entire home/apt,87,2,2,2019-03-02,0.22,1,0
31413714,"Modern Bedroom, 2 minutes away from bus stop.",235300146,Jinia,,South Dublin,53.26883,-6.32671,Private room,30,1,53,2019-07-02,5.13,1,0
31441320,Single Room in Stillorgan,79337564,Pankaj,,Dn Laoghaire-Rathdown,53.28936,-6.18577,Private room,23,1,2,2019-02-02,0.20,1,0
31442306,82 Location! Dublin Central Hotspot,114711637,Nita,,Dublin City,53.35027,-6.26572,Entire home/apt,120,4,27,2019-11-10,2.83,5,0
31443241,Cozy apartment beside temple bar,45167232,Gui,,Dublin City,53.3449,-6.26547,Private room,80,2,14,2019-08-18,1.41,1,0
31458481,Beautiful Apartment 1 minute walk from Temple bar,235658407,Vinicius,,Dublin City,53.34608,-6.25993,Entire home/apt,89,2,23,2019-11-10,2.50,1,29
31459935,A bright & clean space in the heart of Dublin City,41723307,Collette,,Dublin City,53.33059,-6.2605,Private room,60,2,9,2019-06-22,1.07,1,0
31459996,"Warm, cosy mansard apartment in vibrant district",142439779,Noel,,Dublin City,53.32184,-6.2754,Entire home/apt,100,1,20,2019-11-04,2.02,8,148
31478285,Double Bed in own Room  on own Floor,200373890,Mark,,South Dublin,53.27786,-6.46865,Private room,45,1,7,2019-04-18,0.69,1,0
31481523,Sandymount Home,21697839,Avril,,Dublin City,53.33099,-6.21163,Entire home/apt,500,7,1,2019-08-17,0.29,1,65
31486455,Female only,220410651,Yufeng,,Dublin City,53.38912,-6.22861,Private room,21,1,5,2019-02-23,0.48,1,0
